,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
8097,jaipur,2022,Mahindra,Thar,1475000,36100,Diesel,  Manual,2022,Comprehensive,4,First Owner,130.0,2184.0,15.2
8098,jaipur,2018,Maruti,Alto,340000,42000,Petrol,  Manual,2018,Comprehensive,5,First Owner,67.05,998.0,23.95
8099,jaipur,2018,Hyundai,Grand,415000,52531,Petrol,  Manual,2019,Comprehensive,5,First Owner,81.86,1197.0,18.9
8100,jaipur,2019,Maruti,Wagon,451000,70123,Petrol,  Manual,2019,Comprehensive,5,First Owner,67.05,998.0,21.79
8101,jaipur,2015,Honda,Brio,365000,45000,Petrol,  Manual,2015,Comprehensive,5,First Owner,86.8,1198.0,19.4
8102,jaipur,2021,Honda,Amaze,600000,62600,Petrol,  Manual,2021,Expired,5,First Owner,88.5,1199.0,18.6
8103,jaipur,2019,Tata,Nexon,600000,24000,Petrol,  Manual,2019,Comprehensive,5,First Owner,108.5,1198.0,17.0
8104,jaipur,2019,Kia,Seltos,1050000,60685,Petrol,  Manual,2019,Comprehensive,5,First Owner,113.43,1497.0,16.8
8105,jaipur,2013,Maruti,Wagon,275000,70000,Petrol,  Manual,2014,Comprehensive,5,First Owner,67.04,998.0,20.51
8106,jaipur,2016,Skoda,Rapid,600000,83000,Diesel,  Automatic,2016,Expired,5,First Owner,108.6,1498.0,21.72
8107,jaipur,2016,Toyota,Innova,1525000,85479,Diesel,  Automatic,2016,Comprehensive,7,First Owner,171.5,2755.0,14.0
8108,jaipur,2015,Audi,A3,1550000,42840,Diesel,  Automatic,2016,Expired,5,First Owner,143.0,1968.0,20.38
8109,jaipur,2015,Mercedes-Benz,M-Class,2190000,114736,Diesel,  Automatic,2016,Expired,5,First Owner,203.2,2143.0,14.0
8110,jaipur,2015,Jaguar,XF,1450000,96585,Diesel,  Automatic,2015,Comprehensive,5,Second Owner,187.7,2179.0,14.0
8111,jaipur,2021,Tata,Nexon,825000,31787,Petrol,  Automatic,2022,Comprehensive,5,First Owner,118.35,1199.0,17.05
8112,jaipur,2018,Honda,BR-V,575000,81234,Petrol,  Manual,2019,Expired,7,Second Owner,117.3,1497.0,15.4
8113,jaipur,2018,Honda,City,790000,41106,Petrol,  Automatic,2018,Comprehensive,5,First Owner,117.6,1497.0,18.0
8114,jaipur,2020,Kia,Seltos,1325000,31111,Petrol,  Manual,2020,Comprehensive,5,First Owner,113.43,1353.0,16.8
8115,jaipur,2019,Skoda,Rapid,650000,74000,Diesel,  Automatic,2019,Comprehensive,5,First Owner,108.6,1498.0,21.72
8116,jaipur,2021,Kia,Seltos,1250000,40283,Petrol,  Manual,2021,Comprehensive,5,First Owner,113.43,1497.0,16.8
8117,jaipur,2022,Hyundai,Venue,850000,37000,Petrol,  Manual,2022,Comprehensive,5,First Owner,81.86,1197.0,17.52
8118,jaipur,2021,MG,Hector,1490000,85252,Diesel,  Manual,2021,Comprehensive,7,First Owner,167.67,1956.0,16.56
8119,jaipur,2020,Honda,City,875000,41998,Petrol,  Manual,2020,Expired,5,First Owner,119.35,1498.0,18.6
8120,jaipur,2016,Hyundai,i20,525000,76000,Petrol,  Manual,2016,Expired,5,First Owner,81.83,1197.0,18.6
8121,jaipur,2021,Maruti,Baleno,655000,72000,Petrol,  Manual,2021,Comprehensive,5,First Owner,81.8,1197.0,21.01
8122,jaipur,2019,Maruti,Baleno,625000,51000,Petrol,  Manual,2019,Comprehensive,5,First Owner,81.8,1197.0,21.01
8123,jaipur,2020,Maruti,S,851000,38000,Petrol,  Manual,2020,Expired,5,First Owner,103.25,1462.0,18.55
8124,jaipur,2018,Maruti,Ertiga,850000,79000,Diesel,  Manual,2018,Expired,7,First Owner,88.5,1248.0,24.52
8125,jaipur,2018,Hyundai,i20,600000,53000,Diesel,  Manual,2018,Expired,5,First Owner,88.73,1396.0,22.54
8126,jaipur,2017,Hyundai,i20,525000,88000,Petrol,  Manual,2017,Expired,5,First Owner,81.83,1197.0,18.6
8127,jaipur,2016,Honda,City,591000,89000,Petrol,  Automatic,2016,Comprehensive,5,Second Owner,117.3,1497.0,18.0
8128,jaipur,2020,Honda,Jazz,550000,59000,Petrol,  Manual,2020,Comprehensive,5,First Owner,88.7,1199.0,18.7
8129,jaipur,2022,Tata,Altroz,800000,71000,Diesel,  Manual,2022,Comprehensive,5,First Owner,88.77,1497.0,23.03
8130,jaipur,2015,Honda,City,580000,68000,Petrol,  Manual,2015,Comprehensive,5,First Owner,117.3,1497.0,17.4
8131,jaipur,2019,Ford,Endeavour,3250000,114500,Diesel,  Automatic,2020,Comprehensive,7,First Owner,197.0,3198.0,10.91
8132,jaipur,2020,Hyundai,Creta,1350000,71849,Petrol,  Manual,2020,Expired,5,First Owner,113.18,1497.0,14.0
8133,jaipur,2015,Toyota,Innova,790000,125000,Diesel,  Manual,2015,Comprehensive,8,First Owner,100.0,2494.0,12.99
8134,jaipur,2019,Volkswagen,Polo,675000,92000,Petrol,  Automatic,2019,Comprehensive,5,First Owner,103.5,1197.0,17.21
8135,jaipur,2016,Maruti,Ertiga,610000,73209,Diesel,  Manual,2016,Zero Dep,7,First Owner,88.5,1248.0,24.52
8136,jaipur,2013,Toyota,Innova,675000,100000,Diesel,  Manual,2013,Comprehensive,7,Second Owner,100.6,2494.0,14.0
8137,jaipur,2016,Maruti,Ciaz,530000,65000,Petrol,  Manual,2016,Comprehensive,5,First Owner,91.1,1373.0,20.73
8138,jaipur,2014,Maruti,Ertiga,625000,75000,Diesel,  Manual,2014,Comprehensive,7,First Owner,88.5,1248.0,25.47
8139,jaipur,2018,Toyota,Fortuner,2600000,181000,Diesel,  Manual,2018,Comprehensive,7,First Owner,174.5,2755.0,14.24
8140,jaipur,2015,Hyundai,i20,535000,80352,Diesel,  Manual,2015,Comprehensive,5,First Owner,88.73,1396.0,22.54
8141,jaipur,2020,Skoda,Rapid,1000000,64000,Diesel,  Manual,2020,Comprehensive,5,First Owner,108.6,1498.0,21.13
8142,jaipur,2015,Honda,City,555000,121000,Diesel,  Manual,2015,Comprehensive,5,First Owner,98.6,1498.0,26.0
8143,jaipur,2011,Toyota,Etios,321000,60000,Petrol,  Manual,2011,Comprehensive,5,Second Owner,88.7,1496.0,17.6
8144,jaipur,2019,Audi,A6,2850000,113000,Diesel,  Automatic,2019,Comprehensive,5,First Owner,187.74,1968.0,18.53
8145,jaipur,2017,Maruti,Swift,590000,86000,Diesel,  Manual,2017,Comprehensive,5,First Owner,74.0,1248.0,25.2
8146,jaipur,2017,Honda,City,790000,56078,Petrol,  Automatic,2017,Comprehensive,5,Second Owner,117.6,1497.0,17.4
8147,jaipur,2016,Volvo,S60,1535000,112000,Diesel,  Automatic,2016,Comprehensive,5,First Owner,190.0,1969.0,14.0
8148,jaipur,2016,Maruti,Ciaz,625000,81000,Diesel,  Manual,2016,Comprehensive,5,First Owner,88.5,1248.0,28.09
8149,jaipur,2012,Audi,A6,1160000,132689,Diesel,  Automatic,2012,Comprehensive,5,Second Owner,241.38,2967.0,14.0
8150,jaipur,2014,Volkswagen,Vento,399000,85061,Diesel,  Manual,2014,Expired,5,First Owner,103.2,1498.0,20.34
8151,jaipur,2016,Audi,Q3,1525000,81000,Diesel,  Automatic,2016,Comprehensive,5,Second Owner,181.0,1968.0,14.0
